,기간,구별,자동차 등록 합계
786,2020.12,중구,51126
787,2020.12,용산구,78995
788,2020.12,성동구,106156
789,2020.12,광진구,98883
790,2020.12,동대문구,98030
791,2020.12,중랑구,114020
792,2020.12,성북구,120269
793,2020.12,강북구,75679
794,2020.12,도봉구,95839
795,2020.12,노원구,152729
796,2020.12,은평구,132198
797,2020.12,서대문구,89496
798,2020.12,마포구,119389
799,2020.12,양천구,151449
800,2020.12,강서구,205054
801,2020.12,구로구,145267
802,2020.12,금천구,88395
803,2020.12,영등포구,146171
804,2020.12,동작구,105588
805,2020.12,관악구,119393
806,2020.12,서초구,181053
807,2020.12,강남구,236216
808,2020.12,송파구,245833
809,2020.12,강동구,149866
